,file,realNumber,add_len,total_len,sparse_trans,dense_trans,gpos,gquat,init_n,pred_n
135,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002744096.json,tensor([30]),tensor([0]),30,23,0,0.56657934,0.0876028,22,25
136,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002744197.json,tensor([66]),tensor([0]),66,51,0,1.8116795,0.32323515,41,53
137,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002744658.json,tensor([67]),tensor([0]),67,87,0,1.5763732,0.159378,59,89
138,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002744669.json,tensor([54]),tensor([0]),54,43,0,0.6902353,0.0918965,30,45
139,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002744782.json,tensor([32]),tensor([0]),32,34,0,0.5907648,0.10861487,20,36
140,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002744872.json,tensor([67]),tensor([0]),67,60,0,0.75176,0.1481721,39,62
141,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002745031.json,tensor([63]),tensor([0]),63,78,0,1.0869446,0.12071707,57,80
142,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002745042.json,tensor([37]),tensor([0]),37,30,0,0.9113698,0.14542921,20,32
143,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002745110.json,tensor([42]),tensor([0]),42,29,0,0.6279639,0.16553189,18,31
144,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002745222.json,tensor([53]),tensor([0]),53,57,0,0.7284838,0.13771811,33,59
145,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002745390.json,tensor([70]),tensor([0]),70,62,0,0.75968736,0.08152983,48,64
146,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002745637.json,tensor([43]),tensor([0]),43,47,0,0.8480059,0.17967479,32,49
147,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002745749.json,tensor([60]),tensor([0]),60,89,0,1.8182608,0.21776028,61,91
148,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002745985.json,tensor([66]),tensor([0]),66,65,0,1.0070825,0.17135929,45,67
149,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002746155.json,tensor([43]),tensor([0]),43,32,0,1.3050482,0.10260001,32,34
150,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002746278.json,tensor([25]),tensor([0]),25,29,0,0.4611835,0.1091853,15,31
151,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002746346.json,tensor([41]),tensor([0]),41,46,0,0.5439926,0.03655494,30,48
